cluster	number of LBDs	DPS	PAB species	total species
cluster_3439	1	0.00	0	1
cluster_3440	1	0.00	0	1
cluster_3441	1	100.00	1	1
cluster_3442	1	0.00	0	1
cluster_3443	1	0.00	0	1
cluster_3444	1	0.00	0	1
cluster_3445	1	0.00	0	1
cluster_3446	1	0.00	0	1
cluster_3447	1	0.00	0	1
cluster_3448	1	100.00	1	1
cluster_3449	1	0.00	0	1
cluster_3450	1	0.00	0	1
cluster_3451	1	0.00	0	1
cluster_3452	1	0.00	0	1
cluster_3453	1	0.00	0	1
cluster_3454	1	0.00	0	1
cluster_3455	1	0.00	0	1
cluster_3456	1	0.00	0	1
cluster_3457	1	0.00	0	1
cluster_3458	1	0.00	0	1
cluster_3459	1	0.00	0	1
cluster_3460	1	0.00	0	1
cluster_3461	1	0.00	0	1
cluster_3462	1	0.00	0	1
cluster_3463	1	0.00	0	1
cluster_3464	1	0.00	0	1
cluster_3465	1	0.00	0	1
cluster_3466	1	0.00	0	1
cluster_3467	1	0.00	0	1
cluster_3468	1	0.00	0	1
cluster_3469	1	0.00	0	1
cluster_3470	1	0.00	0	1
cluster_3471	1	100.00	1	1
cluster_3472	1	0.00	0	1
cluster_3473	1	0.00	0	1
cluster_3474	1	0.00	0	1
cluster_3475	1	0.00	0	1
cluster_3476	1	0.00	0	1
cluster_3477	1	0.00	0	1
cluster_3478	1	0.00	0	1
cluster_3479	1	0.00	0	1
cluster_3480	1	0.00	0	1
cluster_3481	1	0.00	0	1
cluster_3482	1	0.00	0	1
cluster_3483	1	0.00	0	1
cluster_3484	1	0.00	0	1
cluster_3485	1	0.00	0	1
cluster_3486	1	0.00	0	1
cluster_3487	1	0.00	0	1
cluster_3488	1	0.00	0	1
cluster_3489	1	0.00	0	1
cluster_3490	1	0.00	0	1
cluster_3491	1	0.00	0	1
cluster_3492	1	0.00	0	1
cluster_3493	1	0.00	0	1
cluster_3494	1	0.00	0	1
cluster_3495	1	0.00	0	1
cluster_3496	1	0.00	0	1
cluster_3497	1	0.00	0	1
cluster_3498	1	100.00	1	1
cluster_3499	1	100.00	1	1
cluster_3500	1	100.00	1	1
cluster_3501	1	100.00	1	1
cluster_3502	1	0.00	0	1
cluster_3503	1	0.00	0	1
cluster_3504	1	0.00	0	1
cluster_3505	1	0.00	0	1
cluster_3506	1	0.00	0	1
cluster_3507	1	0.00	0	1
cluster_3508	1	0.00	0	1
cluster_3509	1	0.00	0	1
cluster_3510	1	0.00	0	1
cluster_3511	1	0.00	0	1
cluster_3512	1	100.00	1	1
cluster_3513	1	0.00	0	1
cluster_3514	1	0.00	0	1
cluster_3515	1	0.00	0	1
cluster_3516	1	0.00	0	1
cluster_3517	1	0.00	0	1
cluster_3518	1	0.00	0	1
cluster_3519	1	0.00	0	1
cluster_3520	1	0.00	0	1
cluster_3521	1	0.00	0	1
cluster_3522	1	0.00	0	1
cluster_3523	1	0.00	0	1
cluster_3524	1	0.00	0	1
cluster_3525	1	0.00	0	1
cluster_3526	1	0.00	0	1
cluster_3527	1	0.00	0	1
cluster_3528	1	0.00	0	1
cluster_3529	1	0.00	0	1
cluster_3530	1	0.00	0	1
cluster_3531	1	0.00	0	1
cluster_3532	1	0.00	0	1
cluster_3533	1	0.00	0	1
cluster_3534	1	0.00	0	1
cluster_3535	1	0.00	0	1
cluster_3536	1	0.00	0	1
cluster_3537	1	0.00	0	1
cluster_3538	1	0.00	0	1
cluster_3539	1	0.00	0	1
cluster_3540	1	0.00	0	1
cluster_3541	1	0.00	0	1
cluster_3542	1	0.00	0	1
cluster_3543	1	0.00	0	1
cluster_3544	1	0.00	0	1
cluster_3545	1	0.00	0	1
cluster_3546	1	0.00	0	1
cluster_3547	1	0.00	0	1
cluster_3548	1	0.00	0	1
cluster_3549	1	0.00	0	1
cluster_3550	1	0.00	0	1
cluster_3551	1	0.00	0	1
cluster_3552	1	0.00	0	1
cluster_3553	1	0.00	0	1
cluster_3554	1	0.00	0	1
cluster_3555	1	100.00	1	1
cluster_3556	1	0.00	0	1
cluster_3557	1	0.00	0	1
cluster_3558	1	0.00	0	1
cluster_3559	1	0.00	0	1
cluster_3560	1	0.00	0	1
cluster_3561	1	0.00	0	1
cluster_3562	1	0.00	0	1
cluster_3563	1	0.00	0	1
cluster_3564	1	0.00	0	1
cluster_3565	1	0.00	0	1
cluster_3566	1	0.00	0	1
cluster_3567	1	0.00	0	1
cluster_3568	1	0.00	0	1
cluster_3569	1	0.00	0	1
cluster_3570	1	0.00	0	1
cluster_3571	1	0.00	0	1
cluster_3572	1	0.00	0	1
cluster_3573	1	0.00	0	1
cluster_3574	1	0.00	0	1
cluster_3575	1	0.00	0	1
cluster_3576	1	0.00	0	1
cluster_3577	1	100.00	1	1
cluster_3578	1	100.00	1	1
cluster_3579	1	0.00	0	1
cluster_3580	1	100.00	1	1
cluster_3581	1	0.00	0	1
cluster_3582	1	0.00	0	1
cluster_3583	1	100.00	1	1
cluster_3584	1	100.00	1	1
cluster_3585	1	0.00	0	1
cluster_3586	1	0.00	0	1
cluster_3587	1	0.00	0	1
cluster_3588	1	0.00	0	1
cluster_3589	1	0.00	0	1
cluster_3590	1	0.00	0	1
cluster_3591	1	0.00	0	1
cluster_3592	1	0.00	0	1
cluster_3593	1	0.00	0	1
cluster_3594	1	0.00	0	1
cluster_3595	1	0.00	0	1
cluster_3596	1	0.00	0	1
cluster_3597	1	0.00	0	1
cluster_3598	1	0.00	0	1
cluster_3599	1	0.00	0	1
cluster_3600	1	0.00	0	1
cluster_3601	1	0.00	0	1
cluster_3602	1	100.00	1	1
cluster_3603	1	0.00	0	1
cluster_3604	1	0.00	0	1
cluster_3605	1	0.00	0	1
cluster_3606	1	100.00	1	1
cluster_3607	1	100.00	1	1
cluster_3608	1	0.00	0	1
cluster_3609	1	0.00	0	1
cluster_3610	1	0.00	0	1
cluster_3611	1	0.00	0	1
cluster_3612	1	0.00	0	1
cluster_3613	1	0.00	0	1
cluster_3614	1	0.00	0	1
cluster_3615	1	0.00	0	1
cluster_3616	1	0.00	0	1
cluster_3617	1	0.00	0	1
cluster_3618	1	0.00	0	1
cluster_3619	1	0.00	0	1
cluster_3620	1	0.00	0	1
cluster_3621	1	0.00	0	1
cluster_3622	1	0.00	0	1
cluster_3623	1	0.00	0	1
cluster_3624	1	0.00	0	1
cluster_3625	1	0.00	0	1
cluster_3626	1	0.00	0	1
cluster_3627	1	100.00	1	1
cluster_3628	1	100.00	1	1
cluster_3629	1	0.00	0	1
cluster_3630	1	0.00	0	1
cluster_3631	1	0.00	0	1
cluster_3632	1	0.00	0	1
cluster_3633	1	0.00	0	1
cluster_3634	1	0.00	0	1
cluster_3635	1	100.00	1	1
cluster_3636	1	0.00	0	1
cluster_3637	1	0.00	0	1
cluster_3638	1	0.00	0	1
cluster_3639	1	0.00	0	1
cluster_3640	1	0.00	0	1
cluster_3641	1	0.00	0	1
cluster_3642	1	0.00	0	1
cluster_3643	1	0.00	0	1
cluster_3644	1	0.00	0	1
cluster_3645	1	0.00	0	1
cluster_3646	1	0.00	0	1
cluster_3647	1	100.00	1	1
cluster_3648	1	0.00	0	1
cluster_3649	1	0.00	0	1
cluster_3650	1	0.00	0	1
cluster_3651	1	0.00	0	1
cluster_3652	1	0.00	0	1
cluster_3653	1	0.00	0	1
cluster_3654	1	0.00	0	1
cluster_3655	1	0.00	0	1
cluster_3656	1	0.00	0	1
cluster_3657	1	0.00	0	1
cluster_3658	1	0.00	0	1
cluster_3659	1	0.00	0	1
cluster_3660	1	0.00	0	1
cluster_3661	1	0.00	0	1
cluster_3662	1	0.00	0	1
cluster_3663	1	0.00	0	1
cluster_3664	1	0.00	0	1
cluster_3665	1	0.00	0	1
cluster_3666	1	0.00	0	1
cluster_3667	1	0.00	0	1
cluster_3668	1	100.00	1	1
cluster_3669	1	0.00	0	1
cluster_3670	1	0.00	0	1
cluster_3671	1	100.00	1	1
cluster_3672	1	0.00	0	1
cluster_3673	1	100.00	1	1
cluster_3674	1	0.00	0	1
cluster_3675	1	100.00	1	1
cluster_3676	1	100.00	1	1
cluster_3677	1	0.00	0	1
cluster_3678	1	0.00	0	1
cluster_3679	1	0.00	0	1
cluster_3680	1	0.00	0	1
cluster_3681	1	100.00	1	1
cluster_3682	1	100.00	1	1
cluster_3683	1	100.00	1	1
cluster_3684	1	0.00	0	1
cluster_3685	1	0.00	0	1
cluster_3686	1	0.00	0	1
cluster_3687	1	100.00	1	1
cluster_3688	1	0.00	0	1
cluster_3689	1	0.00	0	1
cluster_3690	1	0.00	0	1
cluster_3691	1	0.00	0	1
cluster_3692	1	0.00	0	1
cluster_3693	1	0.00	0	1
cluster_3694	1	0.00	0	1
cluster_3695	1	0.00	0	1
cluster_3696	1	0.00	0	1
cluster_3697	1	100.00	1	1
cluster_3698	1	0.00	0	1
cluster_3699	1	0.00	0	1
cluster_3700	1	0.00	0	1
cluster_3701	1	0.00	0	1
cluster_3702	1	0.00	0	1
cluster_3703	1	0.00	0	1
cluster_3704	1	0.00	0	1
cluster_3705	1	0.00	0	1
cluster_3706	1	0.00	0	1
cluster_3707	1	0.00	0	1
cluster_3708	1	0.00	0	1
cluster_3709	1	0.00	0	1
cluster_3710	1	0.00	0	1
cluster_3711	1	0.00	0	1
cluster_3712	1	0.00	0	1
cluster_3713	1	0.00	0	1
cluster_3714	1	0.00	0	1
cluster_3715	1	0.00	0	1
cluster_3716	1	0.00	0	1
cluster_3717	1	0.00	0	1
cluster_3718	1	100.00	1	1
cluster_3719	1	0.00	0	1
cluster_3720	1	100.00	1	1
cluster_3721	1	0.00	0	1
cluster_3722	1	100.00	1	1
cluster_3723	1	100.00	1	1
cluster_3724	1	100.00	1	1
cluster_3725	1	0.00	0	1
cluster_3726	1	0.00	0	1
cluster_3727	1	0.00	0	1
cluster_3728	1	100.00	1	1
cluster_3729	1	0.00	0	1
cluster_3730	1	0.00	0	1
cluster_3731	1	0.00	0	1
cluster_3732	1	0.00	0	1
cluster_3733	1	0.00	0	1
cluster_3734	1	0.00	0	1
cluster_3735	1	0.00	0	1
cluster_3736	1	0.00	0	1
cluster_3737	1	0.00	0	1
cluster_3738	1	0.00	0	1
cluster_3739	1	0.00	0	1
cluster_3740	1	0.00	0	1
cluster_3741	1	0.00	0	1
cluster_3742	1	0.00	0	1
cluster_3743	1	0.00	0	1
cluster_3744	1	0.00	0	1
cluster_3745	1	0.00	0	1
cluster_3746	1	0.00	0	1
cluster_3747	1	100.00	1	1
cluster_3748	1	0.00	0	1
cluster_3749	1	100.00	1	1
cluster_3750	1	0.00	0	1
cluster_3751	1	0.00	0	1
cluster_3752	1	0.00	0	1
cluster_3753	1	0.00	0	1
cluster_3754	1	0.00	0	1
cluster_3755	1	0.00	0	1
cluster_3756	1	0.00	0	1
cluster_3757	1	0.00	0	1
cluster_3758	1	0.00	0	1
cluster_3759	1	0.00	0	1
cluster_3760	1	0.00	0	1
cluster_3761	1	0.00	0	1
cluster_3762	1	0.00	0	1
cluster_3763	1	0.00	0	1
cluster_3764	1	0.00	0	1
cluster_3765	1	0.00	0	1
cluster_3766	1	0.00	0	1
cluster_3767	1	0.00	0	1
cluster_3768	1	0.00	0	1
cluster_3769	1	0.00	0	1
cluster_3770	1	0.00	0	1
cluster_3771	1	0.00	0	1
cluster_3772	1	0.00	0	1
cluster_3773	1	0.00	0	1
cluster_3774	1	0.00	0	1
cluster_3775	1	0.00	0	1
cluster_3776	1	0.00	0	1
cluster_3777	1	0.00	0	1
cluster_3778	1	0.00	0	1
cluster_3779	1	0.00	0	1
cluster_3780	1	0.00	0	1
cluster_3781	1	0.00	0	1
cluster_3782	1	0.00	0	1
cluster_3783	1	0.00	0	1
cluster_3784	1	0.00	0	1
cluster_3785	1	0.00	0	1
cluster_3786	1	100.00	1	1
cluster_3787	1	0.00	0	1
cluster_3788	1	0.00	0	1
cluster_3789	1	0.00	0	1
cluster_3790	1	0.00	0	1
cluster_3791	1	0.00	0	1
cluster_3792	1	0.00	0	1
cluster_3793	1	0.00	0	1
cluster_3794	1	0.00	0	1
cluster_3795	1	0.00	0	1
cluster_3796	1	0.00	0	1
cluster_3797	1	0.00	0	1
cluster_3798	1	0.00	0	1
cluster_3799	1	0.00	0	1
cluster_3800	1	0.00	0	1
cluster_3801	1	0.00	0	1
cluster_3802	1	0.00	0	1
cluster_3803	1	100.00	1	1
cluster_3804	1	0.00	0	1
cluster_3805	1	0.00	0	1
cluster_3806	1	0.00	0	1
cluster_3807	1	0.00	0	1
cluster_3808	1	0.00	0	1
cluster_3809	1	0.00	0	1
cluster_3810	1	0.00	0	1
cluster_3811	1	0.00	0	1
cluster_3812	1	0.00	0	1
cluster_3813	1	0.00	0	1
cluster_3814	1	0.00	0	1
cluster_3815	1	0.00	0	1
cluster_3816	1	0.00	0	1
cluster_3817	1	100.00	1	1
cluster_3818	1	0.00	0	1
cluster_3819	1	0.00	0	1
cluster_3820	1	100.00	1	1
cluster_3821	1	0.00	0	1
cluster_3822	1	0.00	0	1
cluster_3823	1	0.00	0	1
cluster_3824	1	0.00	0	1
cluster_3825	1	0.00	0	1
cluster_3826	1	0.00	0	1
cluster_3827	1	0.00	0	1
cluster_3828	1	0.00	0	1
cluster_3829	1	0.00	0	1
cluster_3830	1	0.00	0	1
cluster_3831	1	0.00	0	1
cluster_3832	1	0.00	0	1
cluster_3833	1	0.00	0	1
cluster_3834	1	0.00	0	1
cluster_3835	1	0.00	0	1
cluster_3836	1	0.00	0	1
cluster_3837	1	0.00	0	1
cluster_3838	1	0.00	0	1
cluster_3839	1	0.00	0	1
cluster_3840	1	0.00	0	1
cluster_3841	1	0.00	0	1
cluster_3842	1	0.00	0	1
cluster_3843	1	0.00	0	1
cluster_3844	1	0.00	0	1
cluster_3845	1	0.00	0	1
cluster_3846	1	100.00	1	1
cluster_3847	1	0.00	0	1
cluster_3848	1	0.00	0	1
cluster_3849	1	0.00	0	1
cluster_3850	1	0.00	0	1
cluster_3851	1	0.00	0	1
cluster_3852	1	0.00	0	1
cluster_3853	1	0.00	0	1
cluster_3854	1	100.00	1	1
cluster_3855	1	0.00	0	1
cluster_3856	1	0.00	0	1
cluster_3857	1	0.00	0	1
cluster_3858	1	0.00	0	1
cluster_3859	1	0.00	0	1
cluster_3860	1	0.00	0	1
cluster_3861	1	100.00	1	1
cluster_3862	1	100.00	1	1
cluster_3863	1	0.00	0	1
cluster_3864	1	0.00	0	1
cluster_3865	1	0.00	0	1
cluster_3866	1	0.00	0	1
cluster_3867	1	0.00	0	1
cluster_3868	1	0.00	0	1
cluster_3869	1	0.00	0	1
cluster_3870	1	0.00	0	1
cluster_3871	1	0.00	0	1
cluster_3872	1	0.00	0	1
cluster_3873	1	0.00	0	1
cluster_3874	1	0.00	0	1
cluster_3875	1	0.00	0	1
cluster_3876	1	0.00	0	1
cluster_3877	1	0.00	0	1
cluster_3878	1	0.00	0	1
cluster_3879	1	0.00	0	1
cluster_3880	1	0.00	0	1
cluster_3881	1	0.00	0	1
cluster_3882	1	0.00	0	1
cluster_3883	1	0.00	0	1
cluster_3884	1	100.00	1	1
cluster_3885	1	100.00	1	1
cluster_3886	1	100.00	1	1
cluster_3887	1	100.00	1	1
cluster_3888	1	0.00	0	1
cluster_3889	1	0.00	0	1
cluster_3890	1	0.00	0	1
cluster_3891	1	0.00	0	1
cluster_3892	1	0.00	0	1
cluster_3893	1	0.00	0	1
cluster_3894	1	0.00	0	1
cluster_3895	1	0.00	0	1
cluster_3896	1	0.00	0	1
cluster_3897	1	0.00	0	1
cluster_3898	1	0.00	0	1
cluster_3899	1	0.00	0	1
cluster_3900	1	100.00	1	1
cluster_3901	1	0.00	0	1
cluster_3902	1	0.00	0	1
cluster_3903	1	0.00	0	1
cluster_3904	1	0.00	0	1
cluster_3905	1	0.00	0	1
cluster_3906	1	0.00	0	1
cluster_3907	1	0.00	0	1
cluster_3908	1	0.00	0	1
cluster_3909	1	0.00	0	1
cluster_3910	1	0.00	0	1
cluster_3911	1	0.00	0	1
cluster_3912	1	100.00	1	1
cluster_3913	1	100.00	1	1
cluster_3914	1	100.00	1	1
cluster_3915	1	100.00	1	1
cluster_3916	1	0.00	0	1
cluster_3917	1	0.00	0	1
cluster_3918	1	0.00	0	1
cluster_3919	1	0.00	0	1
cluster_3920	1	0.00	0	1
cluster_3921	1	0.00	0	1
cluster_3922	1	0.00	0	1
cluster_3923	1	0.00	0	1
cluster_3924	1	100.00	1	1
cluster_3925	1	100.00	1	1
cluster_3926	1	0.00	0	1
cluster_3927	1	0.00	0	1
cluster_3928	1	0.00	0	1
cluster_3929	1	100.00	1	1
cluster_3930	1	0.00	0	1
cluster_3931	1	0.00	0	1
cluster_3932	1	0.00	0	1
cluster_3933	1	0.00	0	1
cluster_3934	1	100.00	1	1
cluster_3935	1	0.00	0	1
cluster_3936	1	0.00	0	1
cluster_3937	1	0.00	0	1
cluster_3938	1	0.00	0	1
cluster_3939	1	0.00	0	1
cluster_3940	1	0.00	0	1
cluster_3941	1	0.00	0	1
cluster_3942	1	0.00	0	1
cluster_3943	1	0.00	0	1
cluster_3944	1	0.00	0	1
cluster_3945	1	0.00	0	1
cluster_3946	1	0.00	0	1
cluster_3947	1	0.00	0	1
cluster_3948	1	0.00	0	1
cluster_3949	1	100.00	1	1
cluster_3950	1	0.00	0	1
cluster_3951	1	0.00	0	1
cluster_3952	1	0.00	0	1
cluster_3953	1	0.00	0	1
cluster_3954	1	0.00	0	1
cluster_3955	1	0.00	0	1
cluster_3956	1	100.00	1	1
cluster_3957	1	0.00	0	1
cluster_3958	1	0.00	0	1
cluster_3959	1	0.00	0	1
cluster_3960	1	0.00	0	1
cluster_3961	1	0.00	0	1
cluster_3962	1	0.00	0	1
cluster_3963	1	0.00	0	1
cluster_3964	1	0.00	0	1
cluster_3965	1	0.00	0	1
cluster_3966	1	0.00	0	1
cluster_3967	1	0.00	0	1
cluster_3968	1	0.00	0	1
cluster_3969	1	0.00	0	1
cluster_3970	1	0.00	0	1
cluster_3971	1	0.00	0	1
cluster_3972	1	0.00	0	1
cluster_3973	1	0.00	0	1
cluster_3974	1	0.00	0	1
cluster_3975	1	0.00	0	1
cluster_3976	1	0.00	0	1
cluster_3977	1	0.00	0	1
cluster_3978	1	0.00	0	1
cluster_3979	1	100.00	1	1
cluster_3980	1	0.00	0	1
cluster_3981	1	0.00	0	1
cluster_3982	1	0.00	0	1
cluster_3983	1	0.00	0	1
cluster_3984	1	0.00	0	1
cluster_3985	1	0.00	0	1
cluster_3986	1	0.00	0	1
cluster_3987	1	0.00	0	1
cluster_3988	1	0.00	0	1
cluster_3989	1	0.00	0	1
cluster_3990	1	0.00	0	1
cluster_3991	1	0.00	0	1
cluster_3992	1	0.00	0	1
cluster_3993	1	0.00	0	1
cluster_3994	1	0.00	0	1
cluster_3995	1	0.00	0	1
cluster_3996	1	0.00	0	1
cluster_3997	1	0.00	0	1
cluster_3998	1	0.00	0	1
cluster_3999	1	0.00	0	1
cluster_4000	1	0.00	0	1
cluster_4001	1	0.00	0	1
cluster_4002	1	0.00	0	1
cluster_4003	1	0.00	0	1
cluster_4004	1	0.00	0	1
cluster_4005	1	0.00	0	1
cluster_4006	1	0.00	0	1
cluster_4007	1	0.00	0	1
cluster_4008	1	0.00	0	1
cluster_4009	1	100.00	1	1
cluster_4010	1	0.00	0	1
cluster_4011	1	0.00	0	1
cluster_4012	1	0.00	0	1
cluster_4013	1	0.00	0	1
cluster_4014	1	0.00	0	1
cluster_4015	1	0.00	0	1
cluster_4016	1	100.00	1	1
cluster_4017	1	0.00	0	1
cluster_4018	1	0.00	0	1
cluster_4019	1	0.00	0	1
cluster_4020	1	0.00	0	1
cluster_4021	1	0.00	0	1
cluster_4022	1	0.00	0	1
cluster_4023	1	0.00	0	1
cluster_4024	1	0.00	0	1
cluster_4025	1	0.00	0	1
cluster_4026	1	0.00	0	1
cluster_4027	1	0.00	0	1
cluster_4028	1	0.00	0	1
cluster_4029	1	0.00	0	1
cluster_4030	1	0.00	0	1
cluster_4031	1	0.00	0	1
cluster_4032	1	0.00	0	1
cluster_4033	1	0.00	0	1
cluster_4034	1	0.00	0	1
cluster_4035	1	0.00	0	1
cluster_4036	1	0.00	0	1
cluster_4037	1	0.00	0	1
cluster_4038	1	0.00	0	1
cluster_4039	1	100.00	1	1
cluster_4040	1	0.00	0	1
cluster_4041	1	0.00	0	1
cluster_4042	1	0.00	0	1
cluster_4043	1	0.00	0	1
cluster_4044	1	0.00	0	1
cluster_4045	1	0.00	0	1
cluster_4046	1	100.00	1	1
cluster_4047	1	100.00	1	1
cluster_4048	1	100.00	1	1
cluster_4049	1	0.00	0	1
cluster_4050	1	0.00	0	1
cluster_4051	1	0.00	0	1
cluster_4052	1	0.00	0	1
cluster_4053	1	0.00	0	1
cluster_4054	1	100.00	1	1
cluster_4055	1	0.00	0	1
cluster_4056	1	0.00	0	1
cluster_4057	1	0.00	0	1
cluster_4058	1	0.00	0	1
cluster_4059	1	0.00	0	1
cluster_4060	1	0.00	0	1
cluster_4061	1	0.00	0	1
cluster_4062	1	0.00	0	1
cluster_4063	1	0.00	0	1
cluster_4064	1	0.00	0	1
cluster_4065	1	0.00	0	1
cluster_4066	1	0.00	0	1
cluster_4067	1	0.00	0	1
cluster_4068	1	0.00	0	1
cluster_4069	1	0.00	0	1
cluster_4070	1	0.00	0	1
cluster_4071	1	0.00	0	1
cluster_4072	1	0.00	0	1
cluster_4073	1	0.00	0	1
cluster_4074	1	0.00	0	1
cluster_4075	1	0.00	0	1
cluster_4076	1	0.00	0	1
cluster_4077	1	0.00	0	1
cluster_4078	1	0.00	0	1
cluster_4079	1	0.00	0	1
cluster_4080	1	0.00	0	1
cluster_4081	1	0.00	0	1
cluster_4082	1	0.00	0	1
cluster_4083	1	0.00	0	1
cluster_4084	1	0.00	0	1
cluster_4085	1	0.00	0	1
cluster_4086	1	100.00	1	1
cluster_4087	1	0.00	0	1
cluster_4088	1	0.00	0	1
cluster_4089	1	0.00	0	1
cluster_4090	1	0.00	0	1
cluster_4091	1	0.00	0	1
cluster_4092	1	0.00	0	1
cluster_4093	1	0.00	0	1
cluster_4094	1	0.00	0	1
cluster_4095	1	0.00	0	1
cluster_4096	1	100.00	1	1
cluster_4097	1	100.00	1	1
cluster_4098	1	100.00	1	1
cluster_4099	1	0.00	0	1
cluster_4100	1	0.00	0	1
cluster_4101	1	0.00	0	1
cluster_4102	1	0.00	0	1
cluster_4103	1	0.00	0	1
cluster_4104	1	100.00	1	1
cluster_4105	1	0.00	0	1
cluster_4106	1	100.00	1	1
cluster_4107	1	0.00	0	1
cluster_4108	1	0.00	0	1
cluster_4109	1	0.00	0	1
cluster_4110	1	0.00	0	1
cluster_4111	1	100.00	1	1
cluster_4112	1	0.00	0	1
cluster_4113	1	0.00	0	1
cluster_4114	1	0.00	0	1
cluster_4115	1	0.00	0	1
cluster_4116	1	0.00	0	1
cluster_4117	1	0.00	0	1
cluster_4118	1	0.00	0	1
cluster_4119	1	100.00	1	1
cluster_4120	1	100.00	1	1
cluster_4121	1	0.00	0	1
cluster_4122	1	0.00	0	1
cluster_4123	1	0.00	0	1
cluster_4124	1	0.00	0	1
cluster_4125	1	0.00	0	1
cluster_4126	1	0.00	0	1
cluster_4127	1	0.00	0	1
cluster_4128	1	0.00	0	1
cluster_4129	1	0.00	0	1
cluster_4130	1	0.00	0	1
cluster_4131	1	100.00	1	1
cluster_4132	1	100.00	1	1
cluster_4133	1	0.00	0	1
cluster_4134	1	0.00	0	1
cluster_4135	1	0.00	0	1
cluster_4136	1	0.00	0	1
cluster_4137	1	0.00	0	1
cluster_4138	1	0.00	0	1
cluster_4139	1	0.00	0	1
cluster_4140	1	0.00	0	1
cluster_4141	1	0.00	0	1
cluster_4142	1	0.00	0	1
cluster_4143	1	0.00	0	1
cluster_4144	1	0.00	0	1
cluster_4145	1	0.00	0	1
cluster_4146	1	0.00	0	1
cluster_4147	1	0.00	0	1
cluster_4148	1	0.00	0	1
cluster_4149	1	0.00	0	1
cluster_4150	1	0.00	0	1
cluster_4151	1	0.00	0	1
cluster_4152	1	0.00	0	1
cluster_4153	1	0.00	0	1
cluster_4154	1	0.00	0	1
cluster_4155	1	0.00	0	1
cluster_4156	1	0.00	0	1
cluster_4157	1	0.00	0	1
cluster_4158	1	0.00	0	1
cluster_4159	1	0.00	0	1
cluster_4160	1	0.00	0	1
cluster_4161	1	0.00	0	1
cluster_4162	1	0.00	0	1
cluster_4163	1	0.00	0	1
cluster_4164	1	0.00	0	1
cluster_4165	1	0.00	0	1
cluster_4166	1	0.00	0	1
cluster_4167	1	0.00	0	1
cluster_4168	1	0.00	0	1
cluster_4169	1	0.00	0	1
cluster_4170	1	0.00	0	1
cluster_4171	1	0.00	0	1
cluster_4172	1	0.00	0	1
cluster_4173	1	0.00	0	1
cluster_4174	1	0.00	0	1
cluster_4175	1	0.00	0	1
cluster_4176	1	0.00	0	1
cluster_4177	1	0.00	0	1
cluster_4178	1	0.00	0	1
cluster_4179	1	0.00	0	1
cluster_4180	1	0.00	0	1
cluster_4181	1	0.00	0	1
cluster_4182	1	0.00	0	1
cluster_4183	1	0.00	0	1
cluster_4184	1	0.00	0	1
cluster_4185	1	0.00	0	1
cluster_4186	1	0.00	0	1
cluster_4187	1	0.00	0	1
cluster_4188	1	0.00	0	1
cluster_4189	1	0.00	0	1
cluster_4190	1	0.00	0	1
cluster_4191	1	0.00	0	1
cluster_4192	1	0.00	0	1
cluster_4193	1	0.00	0	1
cluster_4194	1	0.00	0	1
cluster_4195	1	0.00	0	1
cluster_4196	1	0.00	0	1
cluster_4197	1	0.00	0	1
cluster_4198	1	0.00	0	1
cluster_4199	1	0.00	0	1
cluster_4200	1	100.00	1	1
cluster_4201	1	0.00	0	1
cluster_4202	1	0.00	0	1
cluster_4203	1	0.00	0	1
cluster_4204	1	0.00	0	1
cluster_4205	1	0.00	0	1
cluster_4206	1	0.00	0	1
cluster_4207	1	0.00	0	1
cluster_4208	1	0.00	0	1
cluster_4209	1	0.00	0	1
cluster_4210	1	0.00	0	1
cluster_4211	1	0.00	0	1
cluster_4212	1	0.00	0	1
cluster_4213	1	0.00	0	1
cluster_4214	1	0.00	0	1
cluster_4215	1	0.00	0	1
cluster_4216	1	0.00	0	1
cluster_4217	1	0.00	0	1
cluster_4218	1	0.00	0	1
cluster_4219	1	0.00	0	1
cluster_4220	1	0.00	0	1
cluster_4221	1	0.00	0	1
cluster_4222	1	0.00	0	1
cluster_4223	1	0.00	0	1
cluster_4224	1	0.00	0	1
cluster_4225	1	0.00	0	1
cluster_4226	1	0.00	0	1
cluster_4227	1	0.00	0	1
cluster_4228	1	0.00	0	1
cluster_4229	1	0.00	0	1
cluster_4230	1	0.00	0	1
cluster_4231	1	0.00	0	1
cluster_4232	1	0.00	0	1
cluster_4233	1	0.00	0	1
cluster_4234	1	0.00	0	1
cluster_4235	1	0.00	0	1
cluster_4236	1	0.00	0	1
cluster_4237	1	0.00	0	1
cluster_4238	1	0.00	0	1
cluster_4239	1	0.00	0	1
cluster_4240	1	0.00	0	1
cluster_4241	1	0.00	0	1
cluster_4242	1	0.00	0	1
cluster_4243	1	0.00	0	1
cluster_4244	1	0.00	0	1
cluster_4245	1	0.00	0	1
cluster_4246	1	0.00	0	1
cluster_4247	1	0.00	0	1
cluster_4248	1	0.00	0	1
cluster_4249	1	0.00	0	1
cluster_4250	1	0.00	0	1
cluster_4251	1	0.00	0	1
cluster_4252	1	0.00	0	1
cluster_4253	1	0.00	0	1
cluster_4254	1	0.00	0	1
cluster_4255	1	0.00	0	1
cluster_4256	1	0.00	0	1
cluster_4257	1	0.00	0	1
cluster_4258	1	0.00	0	1
cluster_4259	1	0.00	0	1
cluster_4260	1	0.00	0	1
